Name,Level,Slot,Jobs,Stats,Horizon Changes
Beak Mantle +1,58,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 9 VIT +2 +7,none
Enhancing Mantle,59,Back,MNK / WHM / RDM / THF / BST / BRD / RNG / SAM / NIN / BLU / COR,DEF: 8 HP +10 MP +10,none
Sapient Cape,60,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 4 INT +2 MND +2 Enmity -2,
Behemoth Mantle,60,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 12 HP +20 Attack +5,none
Behemoth Mantle +1,60,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 13 HP +30 Attack +10,none
Bullseye Cape,60,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 AGI +1 Ranged Attack +12,none
Bushido Cape,60,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,"DEF: 7 Evasion +1 ""Store TP"" +1 ""Subtle Blow"" +1 Enhances ""Zanshin"" effect",none
Busker's Cape,60,Back,All Jobs,DEF: 2 Latent effect: Enmity -2,none
Immortal's Cape,60,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Resist Sleep"" effect",none
Intensifying Cape,60,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 HP +30 MP +30,none
Invigorating Cape,60,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 MP +1% Evasion +3 MP recovered while healing +1,none
Knightly Mantle,60,Back,WAR / PLD,DEF: 12 VIT +4,none
Miraculous Cape,60,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 MP +15 MND +3 CHR +3 Enmity -1,none
Pirate's Cape,60,Back,All Jobs,"DEF: 2 Latent effect: Enhances ""Resist Paralyze"" effect",none
Amemet Mantle,61,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 STR +1 Attack +10 Ranged Attack +10,
Amemet Mantle +1,61,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8 STR +2 Attack +15 Ranged Attack +15,
Desert Mantle,62,Back,All Jobs,DEF: 8 HP +10 Sandstorms: VIT +2 AGI +2,none
Desert Mantle +1,62,Back,All Jobs,DEF: 9 HP +15 Sandstorms: VIT +3 AGI +3,none
Feral Mantle,64,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 10,none
Tiger Mantle,64,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 9,none
Lamia Mantle,65,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,"DEF: 8 MP +24 ""Magic Def. Bonus"" +3",none
Lamia Mantle +1,65,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,"DEF: 9 MP +26 ""Magic Def. Bonus"" +4",none
Sand Mantle,65,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8 Attack +5 Petrification: Physical damage taken -20%,none
Taffeta Cape,65,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 +13 Evasion +4,none
Taffeta Cape +1,65,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 6 +14 Evasion +5,none
Black Mantle,66,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 9 STR +1 +8,none
Black Mantle +1,66,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 10 STR +1 +10,none
Peace Cape,66,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,Enmity -4,none
Peace Cape +1,66,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,Enmity -5,none
Empowering Mantle,67,Back,MNK / WHM / RDM / THF / BST / BRD / RNG / SAM / NIN / BLU / COR,DEF: 9 HP +10 HP +1% MP +10 MP +1%,none
Empowering Mantle +1,67,Back,MNK / WHM / RDM / THF / BST / BRD / RNG / SAM / NIN / BLU / COR,DEF: 10 HP +15 HP +1% MP +15 MP +1%,none
Blue Cape,68,Back,WHM / BLM / BRD / RNG / SMN / PUP,DEF: 6 MP +15 -10 +5 +5 +5 -10 +5 +5 +5 Converts 15 HP to MP,none
Blue Cape +1,68,Back,WHM / BLM / BRD / RNG / SMN / PUP,DEF: 7 MP +20 -8 +7 +7 +7 -8 +7 +7 +7 Converts 20 HP to MP,none
Cheviot Cape,68,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 +13 Physical damage taken -5%,none
Umbra Cape,68,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 6 +14 Physical damage taken -6%,none
Birdman Cape,69,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,"DEF: 7 MP +30 CHR +9 Enhances ""Resist Paralyze"" effect",none
Psilos Mantle,69,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 6 Accuracy +1 Attack +12 Ranged Accuracy +1 Ranged Attack +12,none
Assassin's Cape,70,Back,THF,DEF: 7 DEX +4 AGI +4 Enmity +5,none
Abyss Cape,70,Back,DRK,DEF: 6 Accuracy +7 Weapon Skill Accuracy +7 Magic Accuracy +7,none
Summoner's Cape,70,Back,SMN,DEF: 6 HP +30 MP +30 Enmity -1,none
Boxer's Mantle,70,Back,All Jobs,DEF: 8 Guarding Skill +10 Evasion Skill +10 Shield Skill +10 Parrying Skill +10,none
Gunner's Mantle,70,Back,All Jobs,DEF: 7 Attack -10 Ranged Accuracy -10 Ranged Attack +20,none
Charger Mantle,70,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR / DNC / RUN,DEF: 7 Attack +20 Ranged Accuracy -10 Ranged Attack -10,
Jaeger Mantle,70,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 Attack -10 Ranged Accuracy +20 Ranged Attack -10,none
Aries Mantle,70,Back,All Jobs,"DEF: 6 Sleep: Adds ""Regen"" effect and Adds ""Refresh"" effect Enchantment: Sleep",none
Aslan Cape,70,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 7 HP -20 MP +20 MND +5 CHR -5,none
Bard's Cape,70,Back,BRD,DEF: 6 CHR +7 Accuracy +7 Evasion +7,none
Coeurl Mantle,70,Back,THF / BST / RNG,DEF: 8 HP -1% Evasion +3,none
Fenrir's Cape,70,Back,All Jobs,Daytime: DEF: +10 Nighttime: Enmity +3,none
Gigant Mantle,70,Back,All Jobs,DEF: 4 HP +80,none
Gleeman's Cape,70,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 7 HP +20 MP -20 VIT -5 INT +5,none
Lieutenant's Cape,70,Back,All Jobs,DEF: 8 HP +40 MP +20 Enchantment: Restores HP and MP,none
Melee Cape,70,Back,MNK,DEF: 8 VIT +5 MND +5 HP recovered while healing +5,none
Mercenary's Mantle,70,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,"DEF: 7 Enhances ""Resist Stun"" effect Besieged: ""Haste"" +3%",none
Mirage Mantle,70,Back,BLU,DEF: 6 MP +20 Accuracy +7 Magic Accuracy +3,none
Pantin Cape,70,Back,PUP,DEF: 6 DEX +5 Attack +15 Automaton: Attack +15,none
Torama Mantle,70,Back,RDM / THF / BST / RNG,DEF: 9 HP -1% Evasion +4,none
Valor Cape,70,Back,PLD,DEF: 16 HP +40 VIT +6 Enmity +3,none
Rainbow Cape,71,Back,WHM / BLM / RDM / BRD / SMN BLU / PUP,DEF: 7 HP +9 MP +9 INT +3 MND +3 CHR +3,
Aileron Mantle,71,Back,WAR / RDM / THF / DRK / NIN / COR,DEF: 5 Accuracy +6 Ranged Accuracy +6,none
Corse Cape,71,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 9 +7 Evasion +7,none
Forager's Mantle,71,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7 STR +3 Attack +15,none
Prism Cape,71,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 8 HP +10 MP +10 INT +4 MND +4 CHR +4,none
Solitaire Cape,71,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,"DEF: 6 HP -20 ""Magic Atk. Bonus"" +2 Spell interruption rate down 8%",none
Hexerei Cape,72,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 5 MP +8 Damage taken -3%,none
Marid Mantle,72,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 10 HP +2% Ranged Attack +10,none
Marid Mantle +1,72,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 11 HP +3% Ranged Attack +11,none
Toreador's Cape,72,Back,All Jobs,DEF: 7 Evasion +9 Enmity +4,none
Merciful Cape,73,Back,All Jobs,MP +25 Enhancing magic skill +5 Elemental magic skill +5 Dark magic skill +5,
Altruistic Cape,73,Back,All Jobs,MP +25 Divine Magic skill +5 Healing Magic skill +5 Enfeebling Magic skill +5,
Astute Cape,73,Back,All Jobs,MP +25 Summoning magic skill +5 Ninjutsu skill +5 Singing skill +5,
Commander's Cape,73,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 8 STR +3 DEX +3 AGI +3,none
Errant Cape,73,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 9 MP +30 Enmity -5,none
Mahatma Cape,73,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 10 MP +32 Enmity -6,none
Settler's Cape,73,Back,WAR / PLD / DRK / BST / DRG,DEF: 5 HP -30 Accuracy +10 Attack -10,none
Erato's Cape,74,Back,WHM / BLM / RDM / BRD / SMN / BLU / PUP,DEF: 6 MP +18 String Instrument skill +4,none
Wayang Kulit Mantle,74,Back,PUP,DEF: 5 Automaton: Melee Skill +2,none
Maledictor's Shawl,75,Back,WHM / BLM / RDM / BLU,"DEF: 8 ""Conserve MP"" +3 Bonus Damage Added to Magic Burst",This is a custom Horizon XI item.
Cerberus Mantle,75,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU /COR,DEF: 12 STR +3 +10 Attack +12 Enmity +3,none
Cerberus Mantle +1,75,Back,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 13 STR +4 +12 Attack +15 Enmity +4,none
Shadow Mantle,75,Back,All Jobs,DEF: 15 Occasionally annulls damage from physical attacks On Darksday: VIT +20,none
