Name,Level,Damage,Delay,DPS,Description,Jobs
Mukademaru,69,74,420,10.57,"""Subtle Blow""+2
Set: Increases Evasion and
HP recovered while healing
Reduces Enmity",SAM / NIN
Namioyogi,69,80,450,10.67,"Enmity+5
Set: Increases STR, Attack,
Ranged Attack, ""Magic Atk. Bonus""",SAM
Honebami,70,68,420,9.71,,SAM / NIN
Kamewari,70,79,450,10.53,"Accuracy+5
Vs. arcana: Critical hit rate +7%",SAM
Kosetsusamonji,70,76,420,10.86,"Assault: DMG:79 ""Store TP""+2",SAM / NIN
Kumokirimaru,70,80,450,10.67,"Enhances ""Zanshin"" effect
Critical hit rate +5%
Vs. vermin: Critical hit rate +8%",SAM
Murasame,70,72,420,10.29,"HP-5% +15
Additional effect: Water damage",SAM / NIN
Hotarumaru,71,78,420,11.14,"Depending on day: Increases elemental
weapon skill damage",SAM / NIN
Shirogatana,71,72,420,10.29,STR+2 INT+2,SAM / NIN
Shirogatana +1,71,73,407,10.76,STR+3 INT+3,SAM / NIN
Tachi of Trials,71,76,450,10.13,Latent effect: HP+20 +10 +10,SAM
Hagun,72,64,450,8.53,TP Bonus,SAM
Kotetsu +1,72,78,450,10.4,,SAM
Michishiba,72,65,420,9.29,"Latent effect: DMG:78
Critical hit rate +6%",SAM / NIN
Nanatsusaya,72,77,420,11,"STR+7 DEX+7
Enhances ""Zanshin"" effect",SAM
Shinkotetsu,72,79,436,10.87,,SAM
Shinsoku,72,80,450,10.67,"STR+5 AGI+1 INT-1
Additional effect: TP drain",SAM
Butachi,73,80,450,10.67,"HP+10
DEX+2 VIT+2 +8",SAM
Butachi +1,73,81,437,11.12,"HP+11
DEX+3 VIT+3 +9",SAM
Kagiroi,73,80,450,10.67,"HP+10
DEX+2 VIT+2 +8
Enchantment: ""Fire""
<50/50 0:30/[10:00, 0:30]>",SAM
Namikirimaru,73,60,420,8.57,Additional effect: TP drain,SAM / NIN
Nukemaru,73,77,450,10.27,"STR+2
On Firesdays: DMG:87 +15",SAM
Onimaru,73,77,450,10.27,Latent effect: DMG:83,SAM
Unshomaru,73,81,450,10.8,,SAM
Ushikirimaru,73,82,450,10.93,"HP+15 STR+2
Enmity+2
Vs. beasts: Accuracy+7",SAM
Hacchonenbutsu,74,70,378,11.11,Accuracy+4,SAM
Amanomurakumo,75,88,437,12.08,"Accuracy+20
""Tachi: Kaiten""
Additional effect: Weakens attacks",SAM
Donto,75,62,450,8.27,,SAM
Efunotachi,75,65,450,8.67,,SAM
Futsuno Mitama,75,84,480,10.5,"DEX+8
""Store TP""+8
Latent effect: STR+8",SAM
Hayatemaru,75,1,450,0.13,In Dynamis: +7,SAM
Ito,75,1,999,0.06,,SAM
Kogarasumaru,75,81,450,10.8,,SAM
Kogarasumaru,75,81,450,10.8,"Enhances ""Third Eye"" effect
""Tachi: Rana""
Aftermath: Increases Acc./Atk.
Occasionally attacks twice",SAM
Kurodachi,75,40,444,5.41,,SAM
Oboromaru,75,76,450,10.13,In Dynamis: +9,SAM
Pachipachio,75,82,480,10.25,"Accuracy-6
Attack+12
""Store TP""+2",SAM
Radennotachi,75,79,450,10.53,,SAM
Rindomaru,75,77,450,10.27,,SAM
Shirodachi,75,67,450,8.93,,SAM
Totsukanotsurugi,75,88,450,11.73,"In Dynamis: ""Tachi: Kaiten""",SAM
Windslicer,75,76,450,10.13,,SAM
