Name,Level,Damage,Delay,DPS,Description,Jobs
Gun of Trials,71,39,600,3.9,Latent effect: HP+20 +10 +10,RNG / COR
Imperial Gun,71,40,600,4,"Depending on day: Increases elemental
weapon skill damage",RNG
Octant,71,24,194,7.42,Ranged Accuracy+3,THF / RNG
Ziska's Crossbow,71,28,216,7.78,Ranged Accuracy+8,THF / RNG
Coffinmaker,72,27,600,2.7,"Ranged Accuracy+9
Latent effect: DMG:40",THF / RNG / NIN / COR
Martial Gun,72,39,612,3.82,TP Bonus,RNG / COR
Peacemaker,72,13,270,2.89,AGI+5 Enmity-2,COR
Culverin,73,50,760,3.95,"Ranged Accuracy-10
Ranged Attack+18",THF / RNG
Culverin +1,73,51,737,4.15,"Ranged Accuracy-12
Ranged Attack+20",THF / RNG
Perdu Crossbow,73,35,288,7.29,Latent effect: DMG:39,WAR / THF / DRK / RNG
Staurobow,74,36,288,7.5,"AGI+4
Enhances ""Demon Killer"" effect",WAR / THF / DRK / RNG
Staurobow +1,74,37,280,7.93,"AGI+4
Ranged Attack+18
Enhances ""Demon Killer"" effect",WAR / THF / DRK / RNG
Veuglaire,74,35,480,4.38,"Ranged Accuracy-20 Ranged Attack-20
Magic Accuracy+5
""Magic Atk. Bonus""+5",COR
Annihilator,75,47,582,4.85,"Ranged Accuracy+20
Ranged Attack+10
""Coronach""",RNG
Corsair's Gun,75,41,600,4.1,,RNG / COR
Corsair's Gun +1,75,42,582,4.33,,RNG / COR
Dynamis Gun,75,39,600,3.9,In Dynamis: +9,RNG
Fane Hexagun,75,28,480,3.5,,COR
Ferdinand,75,47,600,4.7,"In Dynamis: ""Coronach""",RNG
Killer Bow,75,36,288,7.5,,RNG
Marksman Gun,75,1,600,0.1,In Dynamis: +7,RNG
Quicksilver,75,31,480,3.88,,COR
Relic Gun,75,1,999,0.06,,RNG
