Name,Level,Jobs,Stats,Horizon Changes
HorizonXI Shirt,1,All Jobs,DEF: 1,
Culinarian's Apron,1,All Jobs,DEF: 2 +1 +1 Cooking Skill +1,
Hume Gilet,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Hume Gilet +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",Can be stored in Mog Wardrobe 8.
Mithra Top,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Elvaan Top,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Galka Gilet,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Elvaan Top +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",Can be stored in Mog Wardrobe 8.
Galka Gilet +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",Can be stored in Mog Wardrobe 8.
Tarutaru Top,1,All Jobs,Cannot Equip Handgear DEF: 1,Can be stored in Mog Wardrobe 8.
Elvaan Gilet +1,1,All Jobs,"Cannot Equip Handgear DEF: 2 Reduces clamming ""incidents""",Can be stored in Mog Wardrobe 8.
Tartarus Platemail,1,All Jobs,DEF: 1,
Hardcore Harness,1,All Jobs,DEF: 1,Cosmetic item received for achievemnts in Hardcore mode - details below.
Bugsquasher Shirt,1,All Jobs,None,This is a custom Horizon item.
Ducal Aketon,1,All Jobs,None,This is a custom Horizon item.
Alchemist's Apron,1,All Jobs,DEF: 3 +1 +1 Alchemy skill +1,none
Blacksmith's Apron,1,All Jobs,DEF: 4 +2 Smithing skill +1,none
Boneworker's Apron,1,All Jobs,DEF: 3 +1+1 Bonecraft skill +1,none
Bronze Harness,1,WAR / MNK / RDM / THF / PLD / DRK / BST BRD / SAM / NIN / DRG / BLU / COR,DEF: 4,none
Bronze Harness +1,1,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 5,none
Carpenter's Apron,1,All Jobs,DEF: 3 +1 +1 Woodworking skill +1,none
Custom Gilet,1,All Jobs,Cannot Equip Handgear DEF: 1,none
Custom Top,1,All Jobs,Cannot Equip Handgear DEF: 1,none
Elvaan Bodice,1,All Jobs,DEF: 2,none
Elvaan Jerkin,1,All Jobs,DEF: 2,none
Galkan Surcoat,1,All Jobs,DEF: 2,none
Goldsmith's Apron,1,All Jobs,DEF: 3 +1 +1 Goldsmithing skill +1,none
Hume Tunic,1,All Jobs,DEF: 2,none
Hume Vest,1,All Jobs,DEF: 2,none
Magna Gilet,1,All Jobs,Cannot Equip Handgear DEF: 1,
Magna Top,1,All Jobs,Cannot Equip Handgear DEF: 1,
Mithran Separates,1,All Jobs,DEF: 2,none
Robe,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 3,none
Robe +1,1,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 4,none
Savage Top,1,All Jobs,Cannot Equip Handgear DEF: 1,none
Tanner's Apron,1,All Jobs,DEF: 3 +1 +1 Leathercraft skill +1,none
Tarutaru Kaftan,1,All Jobs,DEF: 2,none
Vagabond's Tunica,1,All Jobs,DEF: 2 HP recovered while healing +1,none
Leather Vest,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 7,none
Leather Vest +1,7,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 9,none
Tunic,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 9,none
Kenpogi,8,MNK / SAM / NIN,DEF: 8,none
Kenpogi +1,8,MNK / SAM / NIN,DEF: 9 DEX +1,none
Mana Tunic,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 9 Enchantment: Recover MP,none
Taikyoku Kenpogi,8,MNK / SAM / NIN,DEF: 8 Enchantment: Evasion +3,none
Tunic +1,8,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,None,none
Royal Footman's Tunic,10,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 12 AGI +1 INT +1,none
Royal Footman's Vest,10,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 10 +5,none
Legionnaire's Harness,10,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 10 +5,none
Scale Mail,10,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 11,none
Solid Mail,10,WAR / RDM / PLD / DRK / BST / RNG SAM / DRG / BLU,DEF: 12,none
Brass Harness,11,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 10,none
Brass Harness +1,11,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 11,none
Doublet,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 10,none
Doublet +1,11,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 11,none
Linen Robe,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 10,none
Linen Robe +1,12,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 11,none
Power Gi,13,MNK / SAM / NIN,DEF: 12 STR +1,none
Rider's Jack Coat,15,All Jobs,DEF: 12 Chocobo riding time +5,none
Angler's Tunica,15,All Jobs,DEF: 12 Fishing skill +1,Hidden Effect: Full set supposed to give a small bonus to number of gold arrows seen while fishing
Anu's Doublet,15,WHM / BRD / SMN,DEF: 10 MND +1,none
Bastokan Harness,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 11 HP +2 MP +2 +5,none
Enyo's Breastplate,15,WAR / PLD / DRK / DRG,DEF: 12 HP +1%,none
Hoshikazu Gi,15,MNK / SAM / NIN / PUP,DEF: 11 DEX +1,none
Kingdom Tunic,15,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot equip Headgear DEF: 14 MP +6 AGI +1 INT +1,none
Kingdom Vest,15,WAR / RDM / THF / PLD / DRK / BST BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 12 HP +6  +5,none
Nemain's Robe,15,BLM / RDM / BLU,DEF: 10 STR +1,none
Njord's Jerkin,15,THF / BST / RNG / COR,DEF: 11 Ranged Accuracy +1,none
Nomad's Tunica,15,All Jobs,DEF: 12 HP recovered while healing +1,none
Republic Harness,15,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 12 HP +3 MP +3 +5,none
San d'Orian Tunic,15,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 13 MP +4 AGI +1 INT +1,none
Bone Harness,16,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 14,none
Bone Harness +1,16,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 15 -3 Evasion +1,none
Healing Harness,16,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 14 Enchantment: Recover HP,none
Trailer's Tunica,16,RNG,DEF: 14 AGI +1  +5  +5,none
Fine Jerkin,17,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 16,none
Lizard Jerkin,17,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 15,none
Cotton Dogi,18,MNK / SAM / NIN,DEF: 14,none
Cotton Dogi +1,18,MNK / SAM / NIN,DEF: 15,none
Garrison Tunica,18,All Jobs,DEF: 15 DEX +1 CHR +1,none
Priest's Robe,19,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 14 MND +1 +2,none
Baron's Saio,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 15 INT +1 MND +1,none
Black Tunic,20,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 18 INT +1 +2,none
Mage's Tunic,20,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 19 INT +2  +3,none
Mercenary's Gi,20,MNK / SAM / NIN,DEF: 15 VIT +1,none
Trader's Saio,20,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 14,none
Beetle Harness,21,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 17,none
Beetle Harness +1,21,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 18 -3 Evasion +1,none
Cotton Doublet,23,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 17,none
Great Doublet,23,MNK / WHM / RDM / THF / PLD / BST / BRD / SMN / DRG / BLU / COR / PUP,DEF: 18,none
Bannaret Mail,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 21 Enchantment: HP +15 Enmity +2,none
Chainmail,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 21,none
Chainmail +1,24,WAR / PLD / DRK / BST / SAM / NIN,DEF: 22,none
Bodb's Robe,25,BLM / RDM / BLU,DEF: 16 STR +1 INT +1,none
Ea's Doublet,25,WHM / BRD / SMN,DEF: 17 MND +1 CHR +1,none
Federation Gi,25,MNK / SAM / NIN,DEF: 17 VIT +1 Evasion +3,none
Freyr's Jerkin,25,THF / BST / RNG / COR,DEF: 19 CHR +1 Ranged Accuracy +1,none
Phobos's Cuirass,25,WAR / PLD / DRK / DRG,DEF: 21 HP +1% STR +1,none
Shade Harness,25,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,"DEF: 19 ""Empty Killer""",none
Shade Harness +1,25,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,"DEF: 20 Evasion +1 ""Empty Killer""",none
Tsukikazu Togi,25,MNK / SAM / NIN / PUP,DEF: 20 DEX +1 Accuracy +1,none
Brass Scale Mail,27,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 21,none
Brass Scale Mail +1,27,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 22,none
Faerie Tunic,27,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 22 HP +6 +2 +2 +2 +2 +2 +2 +2 +2,none
Steam Scale Mail,27,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 23 +3 +3 +3,none
Eisenbrust,29,WAR / PLD,DEF: 24 AGI +2,none
Kampfbrust,29,WAR / PLD,DEF: 25 AGI +3,none
Seer's Tunic,29,WHM / BLM / SMN / PUP,DEF: 18 MP +8 MP recovered while healing +1,none
Seer's Tunic +1,29,WHM / BLM / SMN / PUP,DEF: 19 MP +9 MP recovered while healing +1,none
Soil Gi,29,MNK / SAM / NIN,DEF: 20 +1 +1,none
Soil Gi +1,29,MNK / SAM / NIN,DEF: 21 +2 +2,none
Centurion's Scale Mail,30,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 23 VIT +1,none
Nanban Kariginu,30,NIN,DEF: 21 Attack +3,none
Garish Tunic,30,MNK / RDM / PLD / BRD / RNG / BLU,DEF: 19 On Earthsday: Evasion +2,none
Healing Vest,30,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 22 Enchantment: Recover HP,none
Mercenary Captain's Doublet,30,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 20 DEX +1 AGI +1,none
Mist Tunic,30,MNK / RDM / PLD / BRD / RNG / BLU,DEF: 19 On Earthsday: Evasion +2 Enchantment: Evasion Boost,none
Noct Doublet,30,THF / RNG / COR,DEF: 18  +1 Ranged Accuracy +2,none
Noct Doublet +1,30,THF / RNG / COR,DEF: 19  +2 Ranged Accuracy +3,none
Rubious Tunic,30,MNK / RDM / PLD / BRD / RNG / BLU,DEF: 20 On Earthsdays or Windsdays: Evasion +2,none
Strong Vest,30,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 23,none
Studded Vest,30,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 22,none
Magna Jerkin,33,All Jobs,DEF: 18 HP +24 MP +4 DEX +1 INT +1,none
Frost Robe,33,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 21 MP +6 +2,none
Linen Doublet,33,MNK / WHM / RDM / THF / PLD / BST / BRD / RNG / DRG / SMN / BLU / COR / PUP,DEF: 22,none
Linen Doublet +1,33,MNK / WHM / RDM / THF / PLD / BST / BRD / RNG / DRG / SMN / BLU / COR / PUP,DEF: 23 Evasion +5,none
Magna Bodice,33,All Jobs,DEF: 18 HP +24 MP +4 DEX +1 INT +1,none
Savage Separates,33,All Jobs,DEF: 18 HP +32 STR +1 CHR +1,none
Bastokan Scale Mail,34,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 24 VIT +1 In areas under own nation's control: Evasion +3,none
Cloak,34,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 27,none
Cloak +1,34,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 28,none
Federation Doublet,34,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 22 DEX +1 AGI +1 In areas under own nation's control: CHR +2,none
Mana Cloak,34,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 27 Enchantment: Recover MP,none
Republic Scale Mail,34,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 25 VIT +1 In areas under own nation's control: Evasion +4,none
Bishop's Robe,35,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 22 MP +3 MND +2 +3,none
Bishop's Robe +1,35,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 23 MP +4 MND +3 +4,none
Deimos's Cuirass,35,WAR / PLD / DRK / DRG,DEF: 27 HP +1% STR +1 VIT +1,none
Enlil's Gambison,35,WHM / BRD / SMN,DEF: 22 MND +1 CHR +1 Enmity -1,none
Freya's Jerkin,35,THF / BST / RNG / COR,DEF: 24 DEX +1 CHR +1 Ranged Accuracy +1,none
Hikazu Hara-Ate,35,MNK / SAM / NIN / PUP,"DEF: 25 DEX +1 Accuracy +1 ""Store TP"" +1",none
Macha's Coat,35,BLM / RDM / BLU,DEF: 21 STR +1 INT +1 MND +1,none
Padded Armor,35,WAR / MNK / RDM / THF / PLD / DRK BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 24,none
Strong Harness,35,WAR / MNK / RDM / THF / PLD / DRK BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 25,none
Gambison,36,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 23,none
Gambison +1,36,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 24,none
Silver Mail,36,WAR / PLD / DRK / BST / SAM / NIN,DEF: 28,none
Silver Mail +1,36,WAR / PLD / DRK / BST / SAM / NIN,DEF: 29,none
Iron Scale Mail,37,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 28,none
Iron Scale Mail +1,37,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 29,none
Cuir Bouilli,38,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 28,none
Cuir Bouilli +1,38,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 29,none
Mage's Robe,38,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 25 MP +3 INT +1,none
Velvet Robe,38,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 24,none
Shepherd's Doublet,39,BST / DRG / SMN / PUP,"DEF: 23 Accuracy +3 Pet: Attack +5 ""Magic Atk. Bonus"" +3",This is a custom Horizon item.
Royal Squire's Robe,40,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP / DNC / SCH / GEO / RUN,DEF: 26 MP +10 INT +1 MND +1,New stats of INT +1 and MND +1.
Royal Squire's Chainmail,40,WAR / PLD / DRK / BST / SAM / NIN,DEF: 31 DEX +1,none
Iron Musketeer's Gambison,40,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 27 Ranged Accuracy +3 Ranged Attack +3,none
Argent Coat,40,All Jobs,Cannot Equip Handgear DEF: 5 CHR +1,none
Breastplate,40,WAR / PLD / DRK,DEF: 32,none
Breastplate +1,40,WAR / PLD / DRK,DEF: 33,none
Combat Caster's Cloak,40,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 32 STR +2 INT +2 MND -2,none
Divine Breastplate,40,WHM,DEF: 50,none
Fomor Tunic,40,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,None,none
Holy Breastplate,40,WHM,DEF: 45,none
Jujitsu Gi,40,MNK / SAM / NIN,DEF: 27 Accuracy +4,none
Opaline Dress,40,All Jobs,Cannot Equip Handgear DEF: 3 CHR +1,none
Platino Coat,40,All Jobs,Cannot Equip Handgear DEF: 5 CHR +3,none
Earth Doublet,42,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 17 VIT +4 +5,none
Combat Caster's Cloak +1,43,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 33 STR +2 INT +2 MND -2 In areas under own nation's control: Evasion +4,none
Combat Caster's Cloak +2,43,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 34 STR +2 INT +2 MND -2 In areas under own nation's control: Evasion +6,none
Iron Musketeer's Gambison +1,43,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 28 Ranged Accuracy +3 Ranged Attack +3 In areas under own nation's control: DEF: +6,none
Iron Musketeer's Gambison +2,43,MNK / WHM / RDM / THF / PLD / BST / BRD / DRG / SMN / BLU / COR / PUP,DEF: 29 Ranged Accuracy +3 Ranged Attack +3 In areas under own nation's control: DEF: +8,none
Royal Squire's Chainmail +1,43,WAR / PLD / DRK / BST / SAM / NIN,DEF: 32 DEX +1 In areas under own nation's control: Attack +6 Ranged Attack +6,none
Royal Squire's Chainmail +2,43,WAR / PLD / DRK / BST / SAM / NIN,DEF: 33 DEX +1 In areas under own nation's control: Attack +8 Ranged Attack +8,none
Royal Squire's Robe +1,43,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 27 MP +10 In areas under own nation's control: INT +2,none
Royal Squire's Robe +2,43,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 28 MP +10 In areas under own nation's control: INT +3,none
Alumine Haubert,45,WAR / PLD / DRK / BST / SAM / NIN,DEF: 30 STR +1 DEX +1 Attack +2 Accuracy +2 Evasion -10,"STR +1 added
DEX +1 added
Attack +2 added
Accuracy +2 added
Evasion -10 added"
Luisant Haubert,45,WAR / PLD / DRK / BST / SAM / NIN,DEF: 30 STR +2 DEX +2 Attack +3 Accuracy +3 Evasion -12,none
Brigandine,45,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 32 HP +10 DEX +2 VIT +2,none
Brigandine +1,45,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 33 HP +15 STR +1 DEX +3 VIT +3 AGI +1 INT +1 MND +1 CHR +1,none
Carapace Harness,45,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 31,none
Carapace Harness +1,45,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 32 -3 Evasion +1,none
High Healing Harness,45,WAR / MNK / RDM / THF / PLD / DRK / BST / BRD / SAM / NIN / DRG / BLU / COR,DEF: 31 Enchantment: Recover HP,none
Pyro Robe,45,MNK / WHM / BLM / RDM / THF / DRK / BRD / RNG / SMN / BLU / COR / PUP,DEF: 29 MP +8 +4,none
Banded Mail,46,WAR / PLD / DRK / BST / SAM / NIN,DEF: 36,none
Banded Mail +1,46,WAR / PLD / DRK / BST / SAM / NIN,DEF: 37,none
Hara-Ate,46,SAM,DEF: 31,none
Hara-Ate +1,46,SAM,DEF: 32,none
Dino Jerkin,48,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 36 +4 -1,none
Raptor Jerkin,48,WAR / RDM / THF / PLD / DRK / BST / BRD / RNG / SAM / NIN / DRG / BLU / COR,DEF: 35 +3 -1,none
Steel Scale Mail,48,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 36,none
Steel Scale Mail +1,48,WAR / RDM / PLD / DRK / BST / RNG / SAM / DRG / BLU,DEF: 37,none
Mythril Breastplate,49,WAR / PLD / DRK,DEF: 39,none
Mythril Breastplate +1,49,WAR / PLD / DRK,DEF: 40 INT +1  +4  +3,none
Shinobi Gi,49,MNK / SAM / NIN,DEF: 33,none
Shinobi Gi +1,49,MNK / SAM / NIN,DEF: 34 Evasion +3,none
Royal Knight's Cloak,50,MNK / WHM / BLM / RDM / PLD / BRD / RNG / SMN / BLU / PUP,Cannot Equip Headgear DEF: 40 INT +1 +12 +12,New stat of INT +1.
Iron Musketeer's Cuirass,50,WAR / PLD / DRK,DEF: 40 VIT +1,none
Parade Cuirass,50,WAR / PLD,DEF: 38 HP +28 Enmity +2,none
Duende Cotehardie,50,BLM / SMN,"DEF: 26 ""Conserve MP"" +4 Dark Spirit perpetuation cost -1",none
Aikido Gi,50,MNK,DEF: 33 VIT +4 AGI +2,none
Cerise Doublet,50,RDM / BRD / BLU / PUP,DEF: 28 Accuracy +3 Attack +3,none
Gaudy Harness,50,BST / BRD,"DEF: 27 CHR +3 Latent effect: Adds ""Refresh"" effect",none
Glamor Jupon,50,RDM,DEF: 27 Enhancing magic skill +3 Enfeebling magic skill +3 Elemental magic skill +3 Dark magic skill +3,none
Gloom Breastplate,50,DRK,"DEF: 33 Enhances ""Souleater"" effect",none
Nimbus Doublet,50,WHM / SMN,"DEF: 26 Adds ""Regen"" effect Light Spirit perpetuation cost -1",none
Nokizaru Gi,50,NIN,DEF: 31 AGI +4 Enmity +1,none
Rapparee Harness,50,THF,DEF: 32 Ranged Accuracy +2 Haste +4%,
Shikaree Aketon,50,RNG/ COR,DEF: 29 Ranged Attack +7 Enmity -1,none
