Name,Level,Damage,Delay,DPS,Description,Jobs,,,,,,
Rsv.Cpt. Pick,71,46,276,10,"Enhances ""Resist Curse"" effect
Citizens of San d'Oria: Attack+10",WAR / DRK / BST / RNG,,,,,,
Storm Tabar,71,49,288,10.21,"Depending on day: Increases elemental
weapon skill damage",BST,,,,,,
Tabarzin,71,49,288,10.21,HP+10 DEX+2 VIT+2,WAR / DRK / BST,,,,,,
Tabarzin +1,71,50,280,10.71,HP+11 DEX+3 VIT+3,WAR / DRK / BST,,,,,,
Barkborer,72,49,288,10.21,"Weapon Skill Accuracy+5
Enhances ""Plantoid Killer"" effect
Vs. plantoid: Critical hit rate +7%",BST,,,,,,
Leopard Axe,72,49,288,10.21,"STR+3 MND-1 CHR+3
Additional effect: Poison",BST,,,,,,
Martial Axe,72,46,276,10,TP Bonus,WAR / DRK / BST / RNG,,,,,,
Retributor,72,33,312,6.35,"Latent effect: DMG:46
Critical hit rate +6%",WAR / DRK / BST / RNG,,,,,,
Woodville's Axe,72,50,288,10.42,"STR+4
Spell interruption rate down 5%",WAR / DRK / BST / RNG,,,,,,
Lyft Tabar,73,50,288,10.42,,WAR / DRK / BST,,,,,,
Maneater,73,43,276,9.35,Latent effect: DMG:49,WAR / DRK / BST / RNG,,,,,,
Mighty Pick,73,47,312,9.04,"VIT+1 CHR+1
On Windsdays: DMG:52 +15",WAR / DRK / BST / RNG,,,,,,
Temperance Axe,73,39,276,8.48,"CHR+7
Virtue stone equipped:
Occasionally attacks twice",BST / RNG,,,,,,
Labrys,74,45,288,9.38,"STR+2 AGI+2 Attack+7
Ranged Attack+7
""Store TP""-5",WAR / DRK / BST,,,,,,
Lion Tamer,74,44,276,9.57,"Pet: DEF:+10
Enchantment: ""Enfire""
<50/50 0:30/[5:00, 0:30]>",BST,,,,,,
Zoraal Ja's Axe,74,46,276,10,"Enhances ""Reward"" effect",WAR / DRK / BST / RNG,,,,,,
Aymur,75,50,312,9.62,,BST,,,,,,
Aymur,75,50,312,9.62,"Pet: Attack Bonus
Enhances ""Sic"" and ""Ready"" effect
""Primal Rend""
Aftermath (Incl. Pets):
Inc. Acc./Atk., Occ. attacks twice",BST,,,,,,
Bonebiter,75,47,288,9.79,,WAR / BST,,,,,,
Chopper,75,35,288,7.29,,WAR / BST,,,,,,
Double Axe,75,46,312,8.85,,BST,,,,,,
Dynamis Axe,75,46,288,9.58,In Dynamis: +9,BST,,,,,,
Erlking's Tabar,75,41,288,8.54,Main hand: DMG:45,BST,,,,,,
Guttler,75,53,280,11.36,"Attack+20
""Onslaught""
Additional effect: ""Choke""",BST,,,,,,
Leonine Axe,75,1,288,0.21,In Dynamis: +7,BST,,,,,,
Ogre Killer,75,53,288,11.04,"In Dynamis: ""Onslaught""",BST,,,,,,
Punisher,75,27,280,5.79,,WAR / BST,,,,,,
Relic Axe,75,1,999,0.06,,BST,,,,,,
Sirius Axe,75,43,288,8.96,,BST,,,,,,
Skeggiold,75,37,280,7.93,,WAR / BST,,,,,,
Splinter,75,39,288,8.13,,WAR / BST,,,,,,
Tartaglia,75,34,276,7.39,"Ranged Accuracy+3
Ranged Attack+3 Enmity-5",RNG,,,,,,
